web-scraper-order,web-scraper-start-url,category,category-href,title,price,picture-src
"1523066034-81","https://www.lazada.com.my/catalog/?spm=a2o4k.home.search.1.75f824f6rN1bxD&q=scarf&_keyori=ss&from=search_history&sugg=scarf_0_1","Women's Scarves","https://www.lazada.com.my/shop-women-accessories-scarves/?q=scarf&from=search_history","Tie- dye Tricolor Scarf","RM9.90",""
"1523066034-63","https://www.lazada.com.my/catalog/?spm=a2o4k.home.search.1.75f824f6rN1bxD&q=scarf&_keyori=ss&from=search_history&sugg=scarf_0_1","Women's Scarves","https://www.lazada.com.my/shop-women-accessories-scarves/?q=scarf&from=search_history","MG Winter Warm Animal Print Shawl Wrap Stole Neck Long Scarf(Orange)","RM36.10",""
"1523066034-59","https://www.lazada.com.my/catalog/?spm=a2o4k.home.search.1.75f824f6rN1bxD&q=scarf&_keyori=ss&from=search_history&sugg=scarf_0_1","Women's Scarves","https://www.lazada.com.my/shop-women-accessories-scarves/?q=scarf&from=search_history","2 PCS Unisex Winter Knit Hat and Neck Warmer Scarf Set Men Women Thick Knitted Skull Cap Beanie Hat Warm Scarf Black","RM23.00",""
"1523066034-61","https://www.lazada.com.my/catalog/?spm=a2o4k.home.search.1.75f824f6rN1bxD&q=scarf&_keyori=ss&from=search_history&sugg=scarf_0_1","Women's Scarves","https://www.lazada.com.my/shop-women-accessories-scarves/?q=scarf&from=search_history","Multipurpose Elegant Design Twilly Scarfs (A2)","RM15.00",""
"1523066034-50","https://www.lazada.com.my/catalog/?spm=a2o4k.home.search.1.75f824f6rN1bxD&q=scarf&_keyori=ss&from=search_history&sugg=scarf_0_1","Women's Scarves","https://www.lazada.com.my/shop-women-accessories-scarves/?q=scarf&from=search_history","SoKaNo Trendz Korean Style Oriental Scarf- Green","RM26.90",""
"1523066034-60","https://www.lazada.com.my/catalog/?spm=a2o4k.home.search.1.75f824f6rN1bxD&q=scarf&_keyori=ss&from=search_history&sugg=scarf_0_1","Women's Scarves","https://www.lazada.com.my/shop-women-accessories-scarves/?q=scarf&from=search_history","Amart Summer Women Beach Scarf Sun Protection Shawl Chiffon Cardigan Bikini Coverup","RM20.20",""
"1523066034-45","https://www.lazada.com.my/catalog/?spm=a2o4k.home.search.1.75f824f6rN1bxD&q=scarf&_keyori=ss&from=search_history&sugg=scarf_0_1","Women's Scarves","https://www.lazada.com.my/shop-women-accessories-scarves/?q=scarf&from=search_history","2018 New Arrival Square Silk Shawl Cashmere Pashima Hijab Scarf Printed,Brand Satin Shawl Cashmere Pashima Hijab Scarf Shawl 90*90cm Women Multicolor Floral Polyester Scarves For Spring,Winter,Autumn","RM16.00","https://my-test-11.slatic.net/p/7/2018-new-arrival-square-silk-shawl-cashmere-pashima-hijab-scarf-printedbrand-satin-shawl-cashmere-pashima-hijab-scarf-shawl-9090cm-women-multicolor-floral-polyester-scarves-for-springwinterautumn-4796-470467941-9daf17342847503daba4fb00a8ea22ef-catalog_233.jpg"
"1523066034-69","https://www.lazada.com.my/catalog/?spm=a2o4k.home.search.1.75f824f6rN1bxD&q=scarf&_keyori=ss&from=search_history&sugg=scarf_0_1","Women's Scarves","https://www.lazada.com.my/shop-women-accessories-scarves/?q=scarf&from=search_history","Fashion Women's Autumn Winter Soft Warm Thermal Wool Casual Style Scarf Scarves Shawl Wraps","RM47.99",""
"1523066034-65","https://www.lazada.com.my/catalog/?spm=a2o4k.home.search.1.75f824f6rN1bxD&q=scarf&_keyori=ss&from=search_history&sugg=scarf_0_1","Women's Scarves","https://www.lazada.com.my/shop-women-accessories-scarves/?q=scarf&from=search_history","Scarf Chiffon Colourful Fashion Accessory - Leopard","RM25.00",""
"1523066034-55","https://www.lazada.com.my/catalog/?spm=a2o4k.home.search.1.75f824f6rN1bxD&q=scarf&_keyori=ss&from=search_history&sugg=scarf_0_1","Women's Scarves","https://www.lazada.com.my/shop-women-accessories-scarves/?q=scarf&from=search_history","1pc Newest Cotton Blend Hip-hop Bandanas For Male Female Head Scarf Scarves Wristband hot selling","RM10.20",""
"1523066034-49","https://www.lazada.com.my/catalog/?spm=a2o4k.home.search.1.75f824f6rN1bxD&q=scarf&_keyori=ss&from=search_history&sugg=scarf_0_1","Women's Scarves","https://www.lazada.com.my/shop-women-accessories-scarves/?q=scarf&from=search_history","BUYINCIONS Winter Warm Women Men Wool Blend Geometric Scarf Wrap Scarf Shawl Stole","RM13.20",""
"1523066034-53","https://www.lazada.com.my/catalog/?spm=a2o4k.home.search.1.75f824f6rN1bxD&q=scarf&_keyori=ss&from=search_history&sugg=scarf_0_1","Women's Scarves","https://www.lazada.com.my/shop-women-accessories-scarves/?q=scarf&from=search_history","Harry Potter Vouge House Cosplay Knit Wool Costume Scarf Wrap Gryffindor","RM19.79",""
"1523066034-52","https://www.lazada.com.my/catalog/?spm=a2o4k.home.search.1.75f824f6rN1bxD&q=scarf&_keyori=ss&from=search_history&sugg=scarf_0_1","Women's Scarves","https://www.lazada.com.my/shop-women-accessories-scarves/?q=scarf&from=search_history","SoKaNo Trendz Korean Style Oriental Scarf- Red","RM26.90",""
"1523066034-58","https://www.lazada.com.my/catalog/?spm=a2o4k.home.search.1.75f824f6rN1bxD&q=scarf&_keyori=ss&from=search_history&sugg=scarf_0_1","Women's Scarves","https://www.lazada.com.my/shop-women-accessories-scarves/?q=scarf&from=search_history","Women Ladies Fashion Lattice Tassel Shawl Winter Warm Long Scarf  Black + Gray","RM23.00",""
"1523066034-76","https://www.lazada.com.my/catalog/?spm=a2o4k.home.search.1.75f824f6rN1bxD&q=scarf&_keyori=ss&from=search_history&sugg=scarf_0_1","Women's Scarves","https://www.lazada.com.my/shop-women-accessories-scarves/?q=scarf&from=search_history","LALANG Fashion Women Unisex Knitted Pullover Scarf Autumn Winter Solid Color Neck Warmer (Ginger)","RM16.39",""
"1523066034-47","https://www.lazada.com.my/catalog/?spm=a2o4k.home.search.1.75f824f6rN1bxD&q=scarf&_keyori=ss&from=search_history&sugg=scarf_0_1","Women's Scarves","https://www.lazada.com.my/shop-women-accessories-scarves/?q=scarf&from=search_history","YOUNIQ Handmade Ramie Cotton Fabric Scarf Wrap Shawl Women Scarves (Blush Pink)","RM21.00",""
"1523066034-66","https://www.lazada.com.my/catalog/?spm=a2o4k.home.search.1.75f824f6rN1bxD&q=scarf&_keyori=ss&from=search_history&sugg=scarf_0_1","Women's Scarves","https://www.lazada.com.my/shop-women-accessories-scarves/?q=scarf&from=search_history","Rania Fashion women's scarf pashmina cashmere 20 colors flora classical wool 2017","RM29.80",""
"1523066034-75","https://www.lazada.com.my/catalog/?spm=a2o4k.home.search.1.75f824f6rN1bxD&q=scarf&_keyori=ss&from=search_history&sugg=scarf_0_1","Women's Scarves","https://www.lazada.com.my/shop-women-accessories-scarves/?q=scarf&from=search_history","2017 Winter New Fashion Warm Scarf Cashmere-like Solid Color Shawl Scarf For Women and Men","RM39.99",""
"1523066034-57","https://www.lazada.com.my/catalog/?spm=a2o4k.home.search.1.75f824f6rN1bxD&q=scarf&_keyori=ss&from=search_history&sugg=scarf_0_1","Women's Scarves","https://www.lazada.com.my/shop-women-accessories-scarves/?q=scarf&from=search_history","Vococal Fashionable Women Winter Warm Wool Knit Infinity Scarf Shawl Red","RM17.90",""
"1523066034-73","https://www.lazada.com.my/catalog/?spm=a2o4k.home.search.1.75f824f6rN1bxD&q=scarf&_keyori=ss&from=search_history&sugg=scarf_0_1","Women's Scarves","https://www.lazada.com.my/shop-women-accessories-scarves/?q=scarf&from=search_history","100% Silk Scarf Shawl Hijab Wrap Tudung Sutera   26*72"" / 66*182 cm","RM99.00",""
"1523066034-70","https://www.lazada.com.my/catalog/?spm=a2o4k.home.search.1.75f824f6rN1bxD&q=scarf&_keyori=ss&from=search_history&sugg=scarf_0_1","Women's Scarves","https://www.lazada.com.my/shop-women-accessories-scarves/?q=scarf&from=search_history","Fang Fang Women Unisex Mens Gothic Solid Neck Tube Warmer Scarf Bandana Head Face Mask Gaiter Snood Headwear Beani(Black)","RM12.00",""
"1523066034-78","https://www.lazada.com.my/catalog/?spm=a2o4k.home.search.1.75f824f6rN1bxD&q=scarf&_keyori=ss&from=search_history&sugg=scarf_0_1","Women's Scarves","https://www.lazada.com.my/shop-women-accessories-scarves/?q=scarf&from=search_history","Women Lady Solid Linen Neck Scarf Shawl Muffler Scarves","RM25.20",""
"1523066034-43","https://www.lazada.com.my/catalog/?spm=a2o4k.home.search.1.75f824f6rN1bxD&q=scarf&_keyori=ss&from=search_history&sugg=scarf_0_1","Women's Scarves","https://www.lazada.com.my/shop-women-accessories-scarves/?q=scarf&from=search_history","SHER Rectangular Fashion Scarf (Mini)","RM39.90","https://my-test-11.slatic.net/p/7/sher-silk-scarf-25-pink-9552-06375553-bf729294e9c62856d7d88961bb1d841b-catalog_233.jpg"
"1523066034-54","https://www.lazada.com.my/catalog/?spm=a2o4k.home.search.1.75f824f6rN1bxD&q=scarf&_keyori=ss&from=search_history&sugg=scarf_0_1","Women's Scarves","https://www.lazada.com.my/shop-women-accessories-scarves/?q=scarf&from=search_history","1pc Newest Cotton Blend Hip-hop Bandanas For Male Female Head Scarf Scarves Wristband hot selling","RM10.20",""
"1523066034-46","https://www.lazada.com.my/catalog/?spm=a2o4k.home.search.1.75f824f6rN1bxD&q=scarf&_keyori=ss&from=search_history&sugg=scarf_0_1","Women's Scarves","https://www.lazada.com.my/shop-women-accessories-scarves/?q=scarf&from=search_history","Fashion Wild Linen Scarves Solid Color Shawls Women's Ultra Long Four Seasons Scarf Women Candy Color Cape Beach Scarves -black","RM12.80","https://my-test-11.slatic.net/p/7/fashion-wild-linen-scarves-solid-color-shawls-womens-ultra-longfour-seasons-scarf-women-candy-color-cape-beach-scarves-black-9652-63305377-3130346c9f2a2f0a67434a6d8138ed5d-catalog_233.jpg"
"1523066034-80","https://www.lazada.com.my/catalog/?spm=a2o4k.home.search.1.75f824f6rN1bxD&q=scarf&_keyori=ss&from=search_history&sugg=scarf_0_1","Women's Scarves","https://www.lazada.com.my/shop-women-accessories-scarves/?q=scarf&from=search_history","Female Fringed Shawl Pure Color Cashmere Like Big Red Scarf","RM20.00",""
"1523066034-79","https://www.lazada.com.my/catalog/?spm=a2o4k.home.search.1.75f824f6rN1bxD&q=scarf&_keyori=ss&from=search_history&sugg=scarf_0_1","Women's Scarves","https://www.lazada.com.my/shop-women-accessories-scarves/?q=scarf&from=search_history","Warm Winter Fashion Women Long Acrylic Scarf Large Shawl Lady Plaid Scarf","RM31.00",""
"1523066034-67","https://www.lazada.com.my/catalog/?spm=a2o4k.home.search.1.75f824f6rN1bxD&q=scarf&_keyori=ss&from=search_history&sugg=scarf_0_1","Women's Scarves","https://www.lazada.com.my/shop-women-accessories-scarves/?q=scarf&from=search_history","multicolor floral Twill Silk Square Shawl Cashmere Pashima Hijab Scarf Shawl Wraps 90*90cm Women Fashion Accessories 100% Silk Imitated Square Scarves Floral Shawl Cashmere Pashima Hijab Scarf Cape","RM16.00",""
"1523066034-82","https://www.lazada.com.my/catalog/?spm=a2o4k.home.search.1.75f824f6rN1bxD&q=scarf&_keyori=ss&from=search_history&sugg=scarf_0_1","Women's Scarves","https://www.lazada.com.my/shop-women-accessories-scarves/?q=scarf&from=search_history","2 PCS Unisex Winter Knit Hat and Neck Warmer Scarf Set Men Women Thick Knitted Skull Cap Beanie Hat Warm Scarf Grey","RM23.00",""
"1523066034-44","https://www.lazada.com.my/catalog/?spm=a2o4k.home.search.1.75f824f6rN1bxD&q=scarf&_keyori=ss&from=search_history&sugg=scarf_0_1","Women's Scarves","https://www.lazada.com.my/shop-women-accessories-scarves/?q=scarf&from=search_history","Women Necklace Scarves Owl Pendant Jewelry Tassels Scarf Shawl Wrap BK","RM19.80","https://my-test-11.slatic.net/p/7/women-necklace-scarves-owl-pendant-jewelry-tassels-scarf-shawl-wrap-bk-3967-703356131-c7b298e46120fc6a0e026dab3f5fc3da-catalog_233.jpg"
"1523066034-62","https://www.lazada.com.my/catalog/?spm=a2o4k.home.search.1.75f824f6rN1bxD&q=scarf&_keyori=ss&from=search_history&sugg=scarf_0_1","Women's Scarves","https://www.lazada.com.my/shop-women-accessories-scarves/?q=scarf&from=search_history","Fashion Wild Linen Scarves Solid Color Shawls Women's Ultra Long Four Seasons Scarf Women Candy Color Cape Beach Scarves -dark yellow","RM12.80",""
"1523066034-77","https://www.lazada.com.my/catalog/?spm=a2o4k.home.search.1.75f824f6rN1bxD&q=scarf&_keyori=ss&from=search_history&sugg=scarf_0_1","Women's Scarves","https://www.lazada.com.my/shop-women-accessories-scarves/?q=scarf&from=search_history","Moonar Winter 3in1 Hat candy color Plush scarf (Khaki)","RM27.60",""
"1523066034-51","https://www.lazada.com.my/catalog/?spm=a2o4k.home.search.1.75f824f6rN1bxD&q=scarf&_keyori=ss&from=search_history&sugg=scarf_0_1","Women's Scarves","https://www.lazada.com.my/shop-women-accessories-scarves/?q=scarf&from=search_history","Women's Scarf Pashmina Cashmere Silk Solid Shawl Wrap 70*170cm White","RM20.60",""
"1523066034-71","https://www.lazada.com.my/catalog/?spm=a2o4k.home.search.1.75f824f6rN1bxD&q=scarf&_keyori=ss&from=search_history&sugg=scarf_0_1","Women's Scarves","https://www.lazada.com.my/shop-women-accessories-scarves/?q=scarf&from=search_history","Rania Fashion women's scarf pashmina cashmere 14 colors flora classical wool 2017","RM29.80",""
"1523066034-48","https://www.lazada.com.my/catalog/?spm=a2o4k.home.search.1.75f824f6rN1bxD&q=scarf&_keyori=ss&from=search_history&sugg=scarf_0_1","Women's Scarves","https://www.lazada.com.my/shop-women-accessories-scarves/?q=scarf&from=search_history","Wool Blanket Scarf","RM55.20",""
"1523066034-72","https://www.lazada.com.my/catalog/?spm=a2o4k.home.search.1.75f824f6rN1bxD&q=scarf&_keyori=ss&from=search_history&sugg=scarf_0_1","Women's Scarves","https://www.lazada.com.my/shop-women-accessories-scarves/?q=scarf&from=search_history","Amart Fashion Women Neck Scarves 160cmx50cm Peacock Chiffon Scarf Shawl Noble Beach Neckchief","RM13.50",""
"1523066034-56","https://www.lazada.com.my/catalog/?spm=a2o4k.home.search.1.75f824f6rN1bxD&q=scarf&_keyori=ss&from=search_history&sugg=scarf_0_1","Women's Scarves","https://www.lazada.com.my/shop-women-accessories-scarves/?q=scarf&from=search_history","LALANG Fashion Women Unisex Knitted Pullover Scarf Autumn Winter Solid Color Neck Warmer (Navy Blue)","RM16.39",""
"1523066034-68","https://www.lazada.com.my/catalog/?spm=a2o4k.home.search.1.75f824f6rN1bxD&q=scarf&_keyori=ss&from=search_history&sugg=scarf_0_1","Women's Scarves","https://www.lazada.com.my/shop-women-accessories-scarves/?q=scarf&from=search_history","60 Color U Pick Magic Head Face Mask Snood Neck Outdoor Warmer Wrap Shawl Scarf","RM19.99",""
"1523066034-83","https://www.lazada.com.my/catalog/?spm=a2o4k.home.search.1.75f824f6rN1bxD&q=scarf&_keyori=ss&from=search_history&sugg=scarf_0_1","Women's Scarves","https://www.lazada.com.my/shop-women-accessories-scarves/?q=scarf&from=search_history","Women Lady Printed Square Scarf Head Wrap Kerchief Neck Satin Shawl Red","RM16.50",""
"1523066034-74","https://www.lazada.com.my/catalog/?spm=a2o4k.home.search.1.75f824f6rN1bxD&q=scarf&_keyori=ss&from=search_history&sugg=scarf_0_1","Women's Scarves","https://www.lazada.com.my/shop-women-accessories-scarves/?q=scarf&from=search_history","Women Winter Warm Scarf Cashmere Long Wrap Shawl Plaid Knit Scarf Pashmina","RM22.99",""
"1523066034-64","https://www.lazada.com.my/catalog/?spm=a2o4k.home.search.1.75f824f6rN1bxD&q=scarf&_keyori=ss&from=search_history&sugg=scarf_0_1","Women's Scarves","https://www.lazada.com.my/shop-women-accessories-scarves/?q=scarf&from=search_history","New Solid Color Women Large Square Scarves Wraps 100*100cm Autumn Winter Luxury Matt Satin Silk Shawl Cashmere Pashima Hijab Scarf Brand Head Shawl Cashmere Pashima Hijab Scarf","RM16.00",""
